,Ano_sem,val_cargaenergiamwmed
0,2001_1,45393.31541667
4,2001_10,44610.59583335
8,2001_11,42216.4125
12,2001_12,42506.96666666
16,2001_13,43109.05833333
20,2001_14,42645.65416667
24,2001_15,40696.59166666
28,2001_16,42068.58750001
32,2001_17,42319.91249999
36,2001_18,41190.24583333
40,2001_19,43313.05833333
44,2001_2,42576.28333334
48,2001_20,41908.16250001
52,2001_21,39465.51249999
56,2001_22,36504.86249999
60,2001_23,32590.5625
64,2001_24,31229.62083334
68,2001_25,31792.31666666
72,2001_26,30626.829166670002
76,2001_27,30884.2875
80,2001_28,31565.27916667
84,2001_29,31601.10416666
88,2001_3,42975.4
92,2001_30,31512.925
96,2001_31,31501.12083334
100,2001_32,31790.454166659998
104,2001_33,32034.00000001
108,2001_34,32560.30000001
112,2001_35,32563.391666670002
116,2001_36,32145.34166667
120,2001_37,33903.81250001
124,2001_38,33778.065
128,2001_39,33968.69375
132,2001_4,43451.62083334
136,2001_40,35250.815
140,2001_41,33647.89708334
144,2001_42,34130.92375001
148,2001_43,33511.82041668
152,2001_44,33815.25375
156,2001_45,34928.52791667
160,2001_46,34516.48124999
164,2001_47,35128.94458334
168,2001_48,35012.43833333
172,2001_49,35269.40499999
176,2001_5,43651.82916667
180,2001_50,35606.64583335
184,2001_51,35826.4225
188,2001_52,33690.83291667
192,2001_6,44073.39583334
196,2001_7,44491.25
200,2001_8,44566.67083332
204,2001_9,41917.083333329996
208,2002_1,39642.61291666
212,2002_10,36785.28458334
216,2002_11,38706.17083333
220,2002_12,38646.653333329996
224,2002_13,36701.24500001
228,2002_14,38563.00708334
232,2002_15,38861.61333333
236,2002_16,38909.56720823
240,2002_17,39294.79125001
244,2002_18,38155.53779167
248,2002_19,38952.38333333
252,2002_2,33785.017083340004
256,2002_20,39118.65208333
260,2002_21,38632.62041667
264,2002_22,37575.83950331
268,2002_23,38120.63375
272,2002_24,39037.73291668
276,2002_25,38267.93583333
280,2002_26,37175.06541667
284,2002_27,37311.52208333
288,2002_28,38945.54249999
292,2002_29,39230.25583332
296,2002_3,34403.444583339995
300,2002_30,39596.06083333
304,2002_31,39408.72208332
308,2002_32,39540.12583333
312,2002_33,39643.91625
316,2002_34,39591.75291666
320,2002_35,39916.408333340005
324,2002_36,40654.81416667
