,Ano_sem,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual
0,2001_1,49967.0,142476.0,35.64375031
4,2001_10,49967.0,128811.0,36.82714298714286
8,2001_11,49967.0,132422.0,37.86000006571429
12,2001_12,49967.0,131759.0,37.671428681428566
16,2001_13,49967.0,130217.0,37.229999542857136
20,2001_14,49967.0,128336.0,36.69142913857143
24,2001_15,49967.0,125954.0,36.01142883285714
28,2001_16,49967.0,121884.0,34.84714235571429
32,2001_17,49967.0,117487.0,33.591429028571426
36,2001_18,49967.0,113880.0,32.55857195142857
40,2001_19,49967.0,109372.0,31.26857158142857
44,2001_2,49967.0,142158.0,40.645713807142855
48,2001_20,49967.0,103759.0,29.665714264285715
52,2001_21,49967.0,99327.0,28.397142954285716
56,2001_22,49967.0,95875.0,27.410000118571425
60,2001_23,49967.0,93525.0,26.74142864857143
64,2001_24,49967.0,91035.0,26.02714266142857
68,2001_25,49967.0,88369.0,25.265714647142858
72,2001_26,49967.0,86275.0,24.665714534285716
76,2001_27,49967.0,83856.0,23.975714002857142
80,2001_28,49967.0,80822.0,23.10714312857143
84,2001_29,49967.0,78341.0,22.397142682857144
88,2001_3,49967.0,145577.0,41.62285723
92,2001_30,49967.0,75390.0,21.55571419857143
96,2001_31,49967.0,72225.0,20.64999989
100,2001_32,49967.0,69156.0,19.771428789999998
104,2001_33,49967.0,65747.0,18.795713968571427
108,2001_34,49967.0,62616.0,17.90142849571429
112,2001_35,49967.0,59217.0,16.931428911428572
116,2001_36,49967.0,55552.0,15.882857185714286
120,2001_37,49967.0,52329.0,14.961428505714284
124,2001_38,49967.0,48378.0,13.831428667142857
128,2001_39,49967.0,44609.0,12.754285675714286
132,2001_4,49967.0,145734.0,41.667143138571426
136,2001_40,49967.0,40961.0,11.710000038571428
140,2001_41,49967.0,37043.0,10.590000152857144
144,2001_42,49967.0,34402.0,9.834285737142858
148,2001_43,49967.0,31489.0,9.002857344285713
152,2001_44,49967.0,29408.0,8.408571515714286
156,2001_45,49967.0,27338.0,7.815714425714286
160,2001_46,49967.0,25673.0,7.338571412857143
164,2001_47,49967.0,25961.0,7.422857217142857
168,2001_48,49967.0,27322.0,7.8100000114285715
172,2001_49,49967.0,31226.0,8.927142824285713
176,2001_5,49967.0,144533.0,41.32428632571428
180,2001_50,49967.0,34882.0,9.974285805714286
184,2001_51,49967.0,39981.0,11.431428499999999
188,2001_52,49967.0,44322.0,12.671428544285714
192,2001_6,49967.0,143556.0,41.04285703428571
196,2001_7,49967.0,140153.0,40.06999969571429
200,2001_8,49967.0,135904.0,38.857142857142854
204,2001_9,49967.0,132688.0,37.93571472142857
208,2002_1,49967.0,69848.0,17.4737502325
212,2002_10,49967.0,205127.0,58.648570469999996
216,2002_11,49967.0,213602.0,61.07000024
220,2002_12,49967.0,217489.0,62.179999214285715
224,2002_13,49967.0,221137.0,63.22428621428571
228,2002_14,49967.0,224975.0,64.31999915
232,2002_15,49967.0,229948.0,65.74428558285715
236,2002_16,49967.0,231051.0,66.05856977142857
240,2002_17,49967.0,230648.0,65.94285692571428
244,2002_18,49967.0,228457.0,65.31714303142857
248,2002_19,49967.0,225749.0,64.54428536714286
252,2002_2,49967.0,79217.0,22.64999989
256,2002_20,49967.0,221965.0,63.46142796
260,2002_21,49967.0,217873.0,62.29142815857143
264,2002_22,49967.0,213712.0,61.10000010714286
268,2002_23,49967.0,210384.0,60.14857156
272,2002_24,49967.0,205715.0,58.815713609999996
276,2002_25,49967.0,201150.0,57.50999941142857
280,2002_26,49967.0,196255.0,56.11142839714286
284,2002_27,49967.0,192155.0,54.937143052857145
288,2002_28,49967.0,187779.0,53.687143052857145
292,2002_29,49967.0,182567.0,52.19857188571429
296,2002_3,49967.0,98748.0,28.232857295714286
300,2002_30,49967.0,176560.0,50.48000008857143
304,2002_31,49967.0,171589.0,49.05857140714286
308,2002_32,49967.0,165344.0,47.27285766714285
312,2002_33,49967.0,159801.0,45.687143598571424
316,2002_34,49967.0,153454.0,43.87428556571428
320,2002_35,49967.0,146962.0,42.015714374285714
324,2002_36,49967.0,139067.0,39.75857162571429
328,2002_37,49967.0,131180.0,37.50571387142857
332,2002_38,49967.0,124380.0,35.56142861428572
336,2002_39,49967.0,117869.0,33.69857134285714
340,2002_4,49967.0,118279.0,33.8157147
344,2002_40,49967.0,112094.0,32.047143118571434
348,2002_41,49967.0,106003.0,30.30571419714286
352,2002_42,49967.0,99422.0,28.425714218571425
356,2002_43,49967.0,92206.0,26.362857274285716
360,2002_44,49967.0,84981.0,24.294285911428574
364,2002_45,49967.0,79326.0,22.68142836285714
368,2002_46,49967.0,73384.0,20.98142841857143
372,2002_47,49967.0,69839.0,19.96714265
376,2002_48,49967.0,65297.0,18.668571472857142
380,2002_49,49967.0,60455.0,17.284286225714286
384,2002_5,49967.0,129986.0,37.16285650714286
388,2002_50,49967.0,58584.0,16.751428604285714
392,2002_51,49967.0,57703.0,16.498571395714286
396,2002_52,49967.0,59395.0,16.981428417142858
400,2002_6,49967.0,145616.0,41.632856641428575
404,2002_7,49967.0,159057.0,45.47428566857143
408,2002_8,49967.0,175395.0,50.145714895714285
412,2002_9,49967.0,193134.0,55.218571252857146
416,2003_1,49967.0,68386.0,17.10874986625
420,2003_10,49967.0,157087.0,44.91428593142857
424,2003_11,49967.0,157295.0,44.96999958714286
428,2003_12,49967.0,161375.0,46.140000480000005
432,2003_13,49967.0,168715.0,48.237142291428576
436,2003_14,49967.0,173523.0,49.61142948857143
440,2003_15,49967.0,180398.0,51.57571356571429
444,2003_16,49967.0,183580.0,52.488571712857144
448,2003_17,49967.0,183984.0,52.60428564857143
452,2003_18,49967.0,183644.0,52.50571441571429
456,2003_19,49967.0,181992.0,52.03142874428572
460,2003_2,49967.0,73335.0,20.96714292142857
464,2003_20,49967.0,179247.0,51.24857112285714
468,2003_21,49967.0,177437.0,50.72857175285714
472,2003_22,49967.0,174505.0,49.89428547428572
476,2003_23,49967.0,170211.0,48.66571426285714
480,2003_24,49967.0,167398.0,47.85857173428571
484,2003_25,49967.0,164628.0,47.067143030000004
488,2003_26,49967.0,161647.0,46.215714045714286
492,2003_27,49967.0,157727.0,45.09428569285715
496,2003_28,49967.0,154245.0,44.10000065571428
500,2003_29,49967.0,150009.0,42.88714272714286
504,2003_3,49967.0,82052.0,23.457142965714286
508,2003_30,49967.0,145997.0,41.74000004285715
512,2003_31,49967.0,141322.0,40.40428597571429
516,2003_32,49967.0,136897.0,39.13999939
520,2003_33,49967.0,132152.0,37.78142874571428
524,2003_34,49967.0,127128.0,36.34714235285715
528,2003_35,49967.0,122287.0,34.964285167142855
532,2003_36,49967.0,116854.0,33.40857097
536,2003_37,49967.0,111987.0,32.01857158285714
540,2003_38,49967.0,106461.0,30.437142781428573
544,2003_39,49967.0,100798.0,28.821428298571426
548,2003_4,49967.0,95921.0,27.42428589
552,2003_40,49967.0,94165.0,26.92428589
556,2003_41,49967.0,87410.0,24.990000042857144
560,2003_42,49967.0,79961.0,22.861428668571428
564,2003_43,49967.0,73648.0,21.05714253
568,2003_44,49967.0,68206.0,19.499999725714286
572,2003_45,49967.0,63163.0,18.05999974
576,2003_46,49967.0,58294.0,16.66714286857143
580,2003_47,49967.0,53787.0,15.379999975714286
584,2003_48,49967.0,49584.0,14.17571422
588,2003_49,49967.0,47366.0,13.542857032857142
592,2003_5,49967.0,113118.0,32.33999988142857
596,2003_50,49967.0,47758.0,13.655714305714286
600,2003_51,49967.0,47078.0,13.458571705714286
604,2003_52,49967.0,47761.0,13.658571517142857
608,2003_6,49967.0,130311.0,37.257142202857146
612,2003_7,49967.0,141948.0,40.582856858571425
616,2003_8,49967.0,150055.0,42.90142822142857
620,2003_9,49967.0,153950.0,44.01571437142858
624,2004_1,49967.0,27781.0,13.8999998575
628,2004_10,49967.0,205295.0,58.6942858
632,2004_11,49967.0,229665.0,65.66428538714285
636,2004_12,49967.0,255425.0,73.02428654285714
640,2004_13,49967.0,277674.0,79.38999938714286
644,2004_14,49967.0,292934.0,83.75142887571428
648,2004_15,49967.0,307949.0,88.04571424142857
652,2004_16,49967.0,323341.0,92.44428580142858
656,2004_17,49967.0,332267.0,94.99571554857143
660,2004_18,49967.0,340387.0,97.31714303
664,2004_19,49967.0,340586.0,97.37571498428572
668,2004_2,49967.0,50727.0,14.504285811428572
672,2004_20,49967.0,340591.0,97.37714277142857
676,2004_21,49967.0,340244.0,97.27714211571428
680,2004_22,49967.0,339759.0,97.13714272428571
684,2004_23,49967.0,338705.0,96.83571406714285
688,2004_24,49967.0,337700.0,96.54857308714286
692,2004_25,50453.0,338684.0,96.16285705571428
696,2004_26,50453.0,337991.0,95.70142909571429
700,2004_27,50453.0,335295.0,94.93857247571428
704,2004_28,50453.0,331615.0,93.89714268142858
708,2004_29,50453.0,328614.0,93.04714203
712,2004_3,49967.0,63866.0,18.259999957142856
716,2004_30,50453.0,324446.0,91.86714281285715
720,2004_31,50453.0,320502.0,90.74857112285714
724,2004_32,50453.0,315224.0,89.25428444857143
728,2004_33,50453.0,308493.0,87.34857286857142
732,2004_34,50453.0,303600.0,85.96428680428572
736,2004_35,50453.0,298598.0,84.54857199428571
740,2004_36,50453.0,290443.0,82.23857116857143
744,2004_37,50453.0,282516.0,79.99428667428572
748,2004_38,50453.0,275078.0,77.88714272571428
