,Ano_sem,ena_bruta_regiao_mwmed,ena_bruta_regiao_percentualmlt,ena_armazenavel_regiao_mwmed,ena_armazenavel_regiao_percentualmlt
0,2001_1,99493.0,96.331251145,98845.0,95.72125149
4,2001_10,29858.0,30.25857217,29243.0,29.63428579142857
8,2001_11,34896.0,35.36428588,34282.0,34.74000004571428
12,2001_12,40400.0,40.942856924285714,39756.0,40.28857149428571
16,2001_13,45840.0,47.83714349142857,45224.0,47.19142859428571
20,2001_14,34427.0,42.51428549714286,33852.0,41.804285321428566
24,2001_15,27918.0,34.47714342571429,27380.0,33.81285749285714
28,2001_16,24508.0,30.264285769999997,23992.0,29.62999998
32,2001_17,22114.0,27.308571407142857,21600.0,26.675714222857145
36,2001_18,18202.0,34.94142859428571,17679.0,33.92857034
40,2001_19,18775.0,38.26857103571428,18283.0,37.26714324857143
44,2001_2,76353.0,82.16571589714286,75727.0,81.48857116428572
48,2001_20,17606.0,35.88571439428571,17301.0,35.26571437285714
52,2001_21,16852.0,34.34857177857143,16598.0,33.83428628142857
56,2001_22,17306.0,43.3471429,17041.0,42.69714301
60,2001_23,18955.0,58.87714277285714,18740.0,58.208571844285714
64,2001_24,17438.0,54.164285387142854,17372.0,53.961429051428574
68,2001_25,16408.0,50.96714292285714,16408.0,50.96714292285714
72,2001_26,15748.0,50.405714308571426,15748.0,50.405714308571426
76,2001_27,14743.0,55.70142909428572,14743.0,55.70142909428572
80,2001_28,13516.0,51.0657147,13516.0,51.0657147
84,2001_29,14336.0,54.16285705571429,14336.0,54.16285705571429
88,2001_3,69454.0,74.74000004428571,68840.0,74.07999856285714
92,2001_30,13225.0,49.965714045714286,13225.0,49.965714045714286
96,2001_31,12868.0,53.66857092428571,12868.0,53.66857092428571
100,2001_32,12877.0,55.74142837428571,12877.0,55.74142837428571
104,2001_33,12924.0,55.948571887142855,12924.0,55.948571887142855
108,2001_34,12874.0,55.72857175714285,12874.0,55.72857175714285
112,2001_35,12882.0,57.61857114428572,12873.0,57.575714111428574
116,2001_36,13076.0,63.16142872428571,13076.0,63.16142872428571
120,2001_37,14248.0,68.82142911714286,14237.0,68.76857158285715
124,2001_38,13723.0,66.28571428571429,13722.0,66.28142874714285
128,2001_39,13442.0,64.92857033714286,13438.0,64.9099993
132,2001_4,51454.0,55.369999477142855,50813.0,54.67857197428572
136,2001_40,13053.0,58.469999585714284,13032.0,58.37571389285714
140,2001_41,12176.0,54.54285757857143,12176.0,54.54285757857143
144,2001_42,14698.0,65.84000124285714,14698.0,65.84000124285714
148,2001_43,18028.0,80.75714220142858,18028.0,80.75714220142858
152,2001_44,20825.0,73.24428558571428,20821.0,73.22571455
156,2001_45,20132.0,57.039999824285715,20132.0,57.039999824285715
160,2001_46,20061.0,56.837142945714284,20061.0,56.837142945714284
164,2001_47,26041.0,73.7785720842857,26040.0,73.77571433
168,2001_48,31606.0,75.97428676142856,31606.0,75.97428676142856
172,2001_49,48445.0,74.63428606285713,48440.0,74.62571498428572
176,2001_5,40185.0,41.87285723142857,39562.0,41.22428567142857
180,2001_50,50034.0,77.08142743714286,50028.0,77.07285526714286
184,2001_51,40059.0,61.71285683857143,40050.0,61.69857079571428
188,2001_52,35767.0,55.10142898714286,35764.0,55.09714290142857
192,2001_6,42344.0,42.992857251428575,41737.0,42.374286104285716
196,2001_7,37558.0,38.13142831,36956.0,37.52142824571428
200,2001_8,31655.0,32.14000020571429,31041.0,31.517142702857143
204,2001_9,28389.0,28.792857305714286,27805.0,28.201429095714285
208,2002_1,95860.0,98.632499695,95860.0,98.632499695
212,2002_10,104117.0,105.51428549571428,104117.0,105.51428549571428
216,2002_11,79300.0,80.36428397142858,79300.0,80.36428397142858
220,2002_12,51114.0,51.799999781428575,51114.0,51.799999781428575
224,2002_13,45322.0,45.92857197428572,45322.0,45.92857197428572
228,2002_14,59681.0,73.70000021857143,59681.0,73.70000021857143
232,2002_15,59775.0,73.81714248714286,59775.0,73.81714248714286
236,2002_16,39143.0,48.33999960571429,39143.0,48.33999960571429
240,2002_17,35243.0,43.52285712142857,35243.0,43.52285712142857
244,2002_18,28837.0,51.32714298857143,28837.0,51.32714298857143
248,2002_19,23299.0,47.49000004285715,23299.0,47.49000004285715
252,2002_2,110946.0,119.39000047857144,110946.0,119.39000047857144
256,2002_20,21707.0,44.245714459999995,21707.0,44.245714459999995
260,2002_21,20976.0,42.75714220428571,20976.0,42.75714220428571
264,2002_22,19828.0,46.24428612857143,19828.0,46.24428612857143
268,2002_23,19279.0,59.884285518571424,19279.0,59.884285518571424
272,2002_24,19342.0,60.08142798285714,19342.0,60.08142798285714
276,2002_25,17774.0,55.20857075285714,17774.0,55.20857075285714
280,2002_26,16180.0,50.25999995571429,16180.0,50.25999995571429
284,2002_27,17117.0,64.66857201857142,17117.0,64.66857201857142
288,2002_28,17392.0,65.70714133,17392.0,65.70714133
292,2002_29,17298.0,65.35428619142857,17298.0,65.35428619142857
296,2002_3,126847.0,136.49999782,124082.0,133.52428545285713
300,2002_30,17103.0,64.61714172285714,17103.0,64.61714172285714
304,2002_31,16680.0,68.18714359857142,16680.0,68.18714359857142
308,2002_32,14458.0,62.58571570142857,14458.0,62.58571570142857
312,2002_33,13505.0,58.46000017428571,13505.0,58.46000017428571
316,2002_34,12516.0,54.17857088285714,12516.0,54.17857088285714
320,2002_35,11455.0,50.41857147285714,11455.0,50.41857147285714
324,2002_36,10203.0,49.28285707857143,10203.0,49.28285707857143
328,2002_37,10231.0,49.417143141428575,10231.0,49.417143141428575
332,2002_38,10122.0,48.89142935428572,10122.0,48.89142935428572
336,2002_39,10597.0,51.18571417571429,10597.0,51.18571417571429
340,2002_4,100157.0,107.78142765428571,96300.0,103.63142613000001
344,2002_40,13383.0,60.56142861428572,13383.0,60.56142861428572
348,2002_41,17244.0,77.24571446142856,17244.0,77.24571446142856
352,2002_42,12545.0,56.19428580142857,12545.0,56.19428580142857
356,2002_43,12555.0,56.23857171428572,12555.0,56.23857171428572
