,Ano_sem,EOLIELÉTRICA,FOTOVOLTAICA,HIDROELÉTRICA,TÉRMICA
0,2001_1,0.0,0.0,123801.0,310.23375
1,2001_10,0.0,0.0,140390.54285714286,596.6285714285714
2,2001_11,0.0,0.0,131369.7857142857,909.1714285714286
3,2001_12,0.0,0.0,134818.37142857144,1182.7285714285715
4,2001_13,0.0,0.0,133523.54285714286,892.6142857142858
5,2001_14,0.0,0.0,124547.02857142857,850.0
6,2001_15,0.0,0.0,116846.45714285715,836.9
7,2001_16,0.0,0.0,119559.28571428571,1269.857142857143
8,2001_17,0.0,0.0,120855.85714285714,1299.9142857142856
9,2001_18,0.0,0.0,116655.59999999999,474.45714285714286
10,2001_19,0.0,0.0,124096.51428571428,382.7285714285714
11,2001_2,0.0,0.0,135517.81428571427,0.0
12,2001_20,0.0,0.0,118004.42857142857,678.1142857142858
13,2001_21,0.0,0.0,108905.71428571429,768.1999999999999
14,2001_22,0.0,0.0,94024.12857142858,1082.142857142857
15,2001_23,0.0,0.0,84227.25714285715,1123.142857142857
16,2001_24,0.0,0.0,81399.21428571429,1000.6
17,2001_25,0.0,0.0,77213.65714285713,776.0714285714286
18,2001_26,0.0,0.0,73833.2,623.6
19,2001_27,0.0,0.0,74050.6,703.6142857142858
20,2001_28,0.0,0.0,75838.12857142858,1327.857142857143
21,2001_29,0.0,0.0,75816.85714285714,1661.8857142857144
22,2001_3,0.0,0.0,137463.0,0.0
23,2001_30,0.0,0.0,74977.3857142857,1620.2428571428572
24,2001_31,0.0,0.0,74626.47142857143,1246.2428571428572
25,2001_32,0.0,0.0,75384.84285714287,1583.9142857142856
26,2001_33,0.0,0.0,77287.57142857143,993.4571428571428
27,2001_34,0.0,0.0,78945.71428571429,758.7428571428571
28,2001_35,0.0,0.0,80366.37142857142,1658.2485714285715
29,2001_36,0.0,0.0,75908.91428571429,1708.517142857143
30,2001_37,0.0,0.0,85481.87142857142,1239.9285714285713
31,2001_38,0.0,0.0,83659.54285714286,1221.7514285714285
32,2001_39,0.0,0.0,83039.8,1308.3642857142856
33,2001_4,0.0,0.0,138676.87142857144,17.242857142857144
34,2001_40,0.0,0.0,88222.17142857143,1208.4657142857143
35,2001_41,0.0,0.0,81106.08571428571,2111.2614285714285
36,2001_42,0.0,0.0,83123.5,2630.4528571428573
37,2001_43,0.0,0.0,80566.71428571429,2877.612857142857
38,2001_44,0.0,0.0,82030.90000000001,2142.5842857142857
39,2001_45,0.0,0.0,85338.77142857143,2092.6385714285716
40,2001_46,0.0,0.0,84437.0,1727.0928571428572
41,2001_47,0.0,0.0,86143.55714285714,2482.452857142857
42,2001_48,0.0,0.0,86984.71428571429,2546.531428571429
43,2001_49,0.0,0.0,88740.97142857143,2224.6457142857143
44,2001_5,0.0,0.0,138714.05714285714,0.0
45,2001_50,0.0,0.0,88525.01428571428,2336.9
46,2001_51,0.0,0.0,88922.78571428571,2017.7914285714287
47,2001_52,0.0,0.0,81616.44285714286,2201.57
48,2001_6,0.0,0.0,140735.97142857144,0.0
49,2001_7,0.0,0.0,140632.81428571427,5.857142857142857
50,2001_8,0.0,0.0,138921.45714285714,0.0
51,2001_9,0.0,0.0,129356.52857142857,189.5142857142857
52,2002_1,0.0,0.0,87769.425,1992.16375
53,2002_10,0.0,0.0,105068.8857142857,494.91857142857145
54,2002_11,0.0,0.0,101135.22857142857,553.3285714285714
55,2002_12,0.0,0.0,99653.51428571428,525.9971428571429
56,2002_13,0.0,0.0,93681.40000000001,510.1828571428572
57,2002_14,0.0,0.0,101150.77142857143,869.0957142857143
58,2002_15,0.0,0.0,102749.09999999999,1052.8457142857144
59,2002_16,0.0,0.0,100192.85714285714,1194.0218714285713
60,2002_17,0.0,0.0,102123.85714285714,825.5799999999999
61,2002_18,0.0,0.0,101896.15714285713,406.7867142857143
62,2002_19,0.0,0.0,107253.82857142857,377.1714285714285
63,2002_2,0.0,0.0,81943.62857142858,1547.5442857142857
64,2002_20,0.0,0.0,120351.05714285714,447.7357142857142
65,2002_21,0.0,0.0,113142.25714285715,429.67
66,2002_22,0.0,0.0,109604.84285714287,353.7640142857143
67,2002_23,0.0,0.0,111501.91428571429,156.08714285714285
68,2002_24,0.0,0.0,113390.47142857143,138.07
69,2002_25,0.0,0.0,111115.57142857143,153.3942857142857
70,2002_26,0.0,0.0,106232.95714285714,116.32428571428571
71,2002_27,0.0,0.0,103419.78571428571,154.1185714285714
72,2002_28,0.0,0.0,110823.91428571429,33.79571428571428
73,2002_29,0.0,0.0,111990.67142857143,116.29142857142857
74,2002_3,0.0,0.0,92295.31428571428,1019.7099999999999
75,2002_30,0.0,0.0,115858.84285714287,574.1085714285715
76,2002_31,0.0,0.0,113326.45714285714,839.6042857142857
77,2002_32,0.0,0.0,119389.67142857143,668.6742857142857
78,2002_33,0.0,0.0,111694.77142857143,868.0157142857142
79,2002_34,0.0,0.0,110708.81428571428,743.21
80,2002_35,0.0,0.0,115900.47142857143,456.35714285714283
81,2002_36,0.0,0.0,128712.34285714287,410.04857142857145
82,2002_37,0.0,0.0,133309.45714285717,449.6714285714285
83,2002_38,0.0,0.0,131326.4142857143,261.45285714285717
84,2002_39,0.0,0.0,124999.32857142857,267.40285714285716
85,2002_4,0.0,0.0,118929.8,582.2457142857143
86,2002_40,0.0,0.0,119619.82857142857,608.5222285714286
87,2002_41,0.0,0.0,121069.1857142857,517.9916142857143
88,2002_42,0.0,0.0,125979.52857142857,224.24514285714284
89,2002_43,0.0,0.0,130533.61428571427,351.1542
90,2002_44,0.0,0.0,133334.38571428572,603.099257142857
91,2002_45,0.0,0.0,127990.5,914.1242857142857
