,Ano_sem,NORDESTE
0,2001_26,684.0
1,2001_27,684.0
2,2001_28,684.0
3,2001_29,684.0
4,2001_30,684.0
5,2001_31,684.0
6,2001_32,684.0
7,2001_33,684.0
8,2001_34,684.0
9,2001_35,684.0
10,2001_36,684.0
11,2001_37,684.0
12,2001_38,562.15
13,2001_39,562.15
14,2001_40,562.15
15,2001_41,562.15
16,2001_42,562.15
17,2001_43,562.15
18,2001_44,562.15
19,2001_45,562.15
20,2001_46,562.15
21,2001_47,562.15
22,2001_48,562.15
23,2001_49,562.15
24,2001_50,562.15
25,2001_51,562.15
26,2001_52,562.15
27,2002_1,562.15
28,2002_10,4.88
29,2002_11,7.32
30,2002_12,7.04
31,2002_13,6.17
32,2002_14,5.72
33,2002_15,8.71
34,2002_16,8.75
35,2002_17,4.0
36,2002_18,4.38
37,2002_19,4.0
38,2002_2,562.15
39,2002_20,4.13
40,2002_21,4.0
41,2002_22,5.57
42,2002_23,7.69
43,2002_24,7.73
44,2002_25,7.61
45,2002_26,15.89
46,2002_27,17.52
47,2002_28,17.35
48,2002_29,15.59
49,2002_3,562.15
50,2002_30,15.44
51,2002_31,13.52
52,2002_32,11.72
53,2002_33,12.41
54,2002_34,14.07
55,2002_35,5.9
56,2002_36,5.75
57,2002_37,5.54
58,2002_38,4.86
59,2002_39,4.0
60,2002_4,319.41
61,2002_40,4.0
62,2002_41,4.01
63,2002_42,4.62
64,2002_43,6.61
65,2002_44,6.72
66,2002_45,5.66
67,2002_46,5.9
68,2002_47,5.67
69,2002_48,5.66
70,2002_49,5.74
71,2002_5,319.41
72,2002_50,6.13
73,2002_51,4.01
74,2002_52,4.0
75,2002_6,319.41
76,2002_7,319.41
77,2002_8,319.41
78,2002_9,4.0
79,2003_1,5.23
80,2003_10,4.0
81,2003_11,4.0
82,2003_12,4.0
83,2003_13,4.0
84,2003_14,5.48
85,2003_15,5.48
86,2003_16,5.48
87,2003_17,5.48
88,2003_18,5.57
89,2003_19,5.96
90,2003_2,4.0
91,2003_20,6.25
92,2003_21,7.1
93,2003_22,11.49
94,2003_23,11.31
95,2003_24,9.17
96,2003_25,10.55
97,2003_26,9.98
98,2003_27,10.33
99,2003_28,10.84
100,2003_29,9.04
101,2003_3,4.25
102,2003_30,9.08
103,2003_31,13.12
104,2003_32,14.31
105,2003_33,13.64
106,2003_34,12.93
107,2003_35,13.77
